universal_part_id,canonical_name,audit_decision,final_status,final_confidence,brands,catalog_skus,source_audit_key,occurrence_count,evidence_brands,decision_reason,example_titles
BOLT-1-4-20-X-1-1-2,1/4-20 x 1-1/2 Bolt,keep_review,review,medium,Columbia;Platinum,,bolt 1/4-20 x 1-1/2,7,Columbia;Platinum,"Keep review: schematic titles say hex bolt, but catalog SKU FA299 resolves to a pan Phillips part, so source evidence conflicts.",1/4-20 x 1-1/2 Hex Bolt (FA299) | 1/4-20 x 1-1/2 Hex Bolt
NUT-1-4-20-HEX,1/4-20 Hex Nut,keep_review,review,high,Columbia;TapeTech,CT109;FA291,nut 1/4-20 hex,15,Columbia;TapeTech,"Keep review: occurrence titles mix plain hex, castle/slotted and heavy hex variants.","1/4 - 20 Hex Nut | ¼ - 20 Hex Nut (FA291) | ¼ -20 Hex Nut (Castle Nut) (CT109) | 1/4-20 Hex Nut, Slotted | Nut 1/4 - 20 Heavy Hex. S.S 303"
NUT-10-24,10-24 Nut,keep_review,review,high,Asgard;Columbia;TapeTech,FA272,nut 10-24,9,Asgard;Columbia;TapeTech,Keep review: occurrence titles mix standard 10-24 nut and 10-24 wing nut variants.,709056 - 10-24 Sst Nut | 10 - 24 Wing Nut | Wing Nut: 10-24
SCREW-8-32-X-3-8,8-32 x 3/8 Screw,keep_review,review,high,Columbia;Level5;Platinum;TapeTech,FA261,screw 8-32 x 3/8,13,Columbia;Level5;Platinum;TapeTech,Keep review: audit key omits head style and occurrence titles mix socket/BHC/hex socket wording.,"8 - 32 X 3/8"" Socket Screw | 8-32 X 3/8, BHC Screw | 8-32 X 3/8 Hex Socket Capscrew 18-8 S.S."
SET-SCREW-8-32-X-1-4,8-32 x 1/4 Set Screw,keep_review,review,high,Asgard;Columbia;TapeTech,FAZ5S,set screw 8-32 x 1/4,15,Asgard;Columbia;TapeTech,Keep review: occurrence titles mix generic set screw and 1/2 dog set screw subtypes.,059084 - 8-32 X 1/4 1/2 Dog Setscrew | Predator Taper 8 - 32 x 1/4 Set Screw | Predator Taper 8-32 x 1/4 Set Screw (FAZ5S) | 8-32 X 1/4 SETSCREW 1/2 DOG SST
WASHER-10-BRASS,#10 Brass Washer,keep_review,review,medium,Asgard;Level5;Platinum;TapeTech,,washer #10 brass,51,Asgard;Level5;Platinum;TapeTech,"Keep review: high occurrence count, but references only prove #10 brass washer title and not washer geometry/OD.",209042 - #10 Brass Washer | #10 Brass Washer | #10 BRASS WASHER
WASHER-10-FLAT,#10 Flat Washer,keep_review,review,medium,Columbia;TapeTech,FA268,washer #10 flat,34,Columbia;TapeTech,Keep review: references do not fully prove washer material and OD across brands.,"#10 Flat Washer | #10 Flat Washer (FA268) | #10 Flat Washer, 18-8 S.S."
WASHER-10-LOCK,#10 Lock Washer,keep_review,review,medium,Asgard;TapeTech,,washer #10 lock,5,Asgard;TapeTech,Keep review: occurrence titles mix generic lockwasher and medium lockwasher wording.,709050 - #10 Lockwasher | #10 LOCKWASHER (REPAIR ONLY) | #10 Medium Lockwasher 18-8 S.S.
WASHER-5-16-FLAT,5/16 Flat Washer,keep_review,review,medium,Columbia;TapeTech,FA303;FA304,washer 5/16 flat,9,Columbia;TapeTech,Keep review: references include multiple Columbia SKUs and do not fully prove material/OD equivalence.,5 - 16 Flat Washer | 5/16 Flat Washer | 5/16 Flat Washer (FA-304)
NUT-10-32-LOCK,10-32 Lock Nut,promote_to_active,active,high,Level5;Platinum,,nut 10-32 lock,8,Level5;Platinum,Promoted: all reviewed occurrences use exact #10-32 Lock Nut title across Level5 and Platinum flat-box schematics.,#10-32 Lock Nut
O-RING-5-32-ID-9-16-OD,5/32 ID x 9/16 OD x 1/16 Wide O-Ring,promote_to_active,active,high,Asgard;TapeTech,,o-ring 5/32 id; 9/16 od,3,Asgard;TapeTech,"Promoted: all reviewed occurrences include matching 5/32 ID, 9/16 OD and 1/16 width.",O Ring - 5/32 ID x 9/16 OD x 1/16 Wide
PIN-1-16-X-1-2-COTTER,1/16 x 1/2 Cotter Pin,promote_to_active,active,high,Columbia;TapeTech,FA202,pin 1/16 x 1/2 cotter,20,Columbia;TapeTech,"Promoted: exact diameter, length and cotter-pin type match across Columbia catalog FA202 and TapeTech 059143 schematic evidence.","1/16 X 1/2"" Cotter Pin | Cotter Pin 1/16 X 1/2 SST."
SCREW-1-4-20-X-2-HEX-HEAD,1/4-20 x 2 Hex Head Screw,promote_to_active,active,high,Asgard;Level5,,screw 1/4-20 x 2 hex head,2,Asgard;Level5,"Promoted: exact thread, length and hex-head/capscrew wording match across Asgard and Level5 schematic evidence.",729051 - 1/4-20 X 2 Hex Hd Capscrew | 1/4-20x2 Hex Head Screw
SCREW-10-24-X-1-1-4-FILLISTER-HEAD,10-24 x 1-1/4 Fillister Head Screw,promote_to_active,active,high,Asgard;TapeTech,,screw 10-24 x 1-1/4 fillister head,9,Asgard;TapeTech,"Promoted: exact thread, length and fillister-head wording match across Asgard and TapeTech schematic evidence.",339073 - 10-24 x 1-1/4 Fillister Head Screw | #10-24 X 1-1/4 Fillister Head Screw
SCREW-5-16-18-X-7-8-HEX-HEAD,5/16-18 x 7/8 Hex Head Screw,promote_to_active,active,high,Asgard;Level5,,screw 5/16-18 x 7/8 hex head,2,Asgard;Level5,"Promoted: exact thread, length and hex-head/capscrew wording match across Asgard and Level5 schematic evidence.",709023 - 5/16-18x7/8 Hex Hd Capscrew | 5/16-18 x 7/8 Hex Head Screw
SCREW-6-32-X-1-4-FILLISTER-HEAD,6-32 x 1/4 Fillister Head Screw,promote_to_active,active,high,Asgard;Level5;Platinum;TapeTech,,screw 6-32 x 1/4 fillister head,38,Asgard;Level5;Platinum;TapeTech,"Promoted: exact thread, length and fillister-head wording match across 38 occurrences and four brands.",6-32 X 1/4 Fillister Hd Screw - 059015 | #6-32 x 1/4 Fillister Head | #6-32 x 1/4 Fillister Head Screw | Screw 6-32 X 1/4 Fil. Hd. S.S.
SCREW-8-32-X-3-8-BINDER-HEAD,8-32 x 3/8 Binder Head Screw,promote_to_active,active,high,Asgard;TapeTech,,screw 8-32 x 3/8 binder head,4,Asgard;TapeTech,"Promoted: exact thread, length and binder-head wording match across Asgard and TapeTech schematic evidence.",729064 - 8-32 X 3/8 Bind Hd Sst Screw | 8-32X3/8 BIND HEAD SCREW
SCREW-8-32-X-5-8-TRUSS,8-32 x 5/8 Truss Head Screw,promote_to_active,active,high,Asgard;TapeTech,,screw 8-32 x 5/8 truss,7,Asgard;TapeTech,"Promoted: exact thread, length and truss-head wording match across Asgard and TapeTech schematic evidence.",TapeTech 8-32 X 5/8 Truss Hd Screw (059127) | Screw 8-32 X 5/8 Truss Hd. S.S
